year,tsub,sigma2
847.0,2.4684774302229506,3.0542466834450805
848.0,2.466656115158057,3.054288682612143
849.0,2.464565471721704,3.0542854565094633
850.0,2.4623176639997064,3.0539977879852547
851.0,2.459860513741575,3.0538321277385494
852.0,2.4571406235776863,3.053664987666892
853.0,2.454639854131356,3.052615035443051
854.0,2.452578160852937,3.050376112682976
855.0,2.4508158205254507,3.0475036409569776
856.0,2.4489373324157127,3.0445799687724366
857.0,2.4465835162460676,3.0418106897503328
858.0,2.4433915865946636,3.03959208089773
859.0,2.4396121626711844,3.0373881034225554
860.0,2.4355778816423195,3.034871524303034
861.0,2.4313779446812482,3.0327344895921566
862.0,2.4270876573018674,3.031608838229253
863.0,2.4232022869771295,3.0307691263596346
864.0,2.41997991285508,3.0296748993325786
865.0,2.417438595274913,3.0285008333263344
866.0,2.415765553603249,3.0268161182212086
867.0,2.4149722189945297,3.0248509409279842
868.0,2.415012953202439,3.021236273589218
869.0,2.415672666110461,3.016474716470612
870.0,2.4165564885962274,3.0112006887836382
871.0,2.41724738555818,3.0061595998948007
872.0,2.4171984259442416,3.001711502155769
873.0,2.415867404285153,2.9984793199949853
874.0,2.4133044525513974,2.9959186196260794
875.0,2.4095365228760786,2.9935894066994697
876.0,2.4049896038526213,2.991264210395449
877.0,2.4000131560989617,2.9889191302703257
878.0,2.39452032383391,2.986368746400768
879.0,2.3888869187748263,2.9838719392796147
880.0,2.383159626021668,2.9815238198999148
881.0,2.3774584092215783,2.979679109363415
882.0,2.3722211519554017,2.977824269586608
883.0,2.3674766136740657,2.9759179321077647
884.0,2.3629597026715023,2.9740328432404066
885.0,2.3585409164904516,2.9722770278350663
886.0,2.3543740805475126,2.97058435715932
887.0,2.3508927974398923,2.96883687195767
888.0,2.348395135709441,2.9666935326459605
889.0,2.347141240574471,2.964028620589125
890.0,2.3469783724113955,2.96148798461129
891.0,2.3472423924058576,2.959704563935111
892.0,2.347718036153239,2.958120064850545
893.0,2.3484521812534727,2.9558891232951248
894.0,2.348769943529987,2.953455944939264
895.0,2.3481714774465035,2.9511865717529524
896.0,2.3467495358118002,2.9486881936165594
897.0,2.344444065541677,2.9460419505923547
898.0,2.3415831616132894,2.943044345449346
899.0,2.338401689289838,2.940989561137502
900.0,2.3350582256229924,2.9394415144979016
901.0,2.331710112575278,2.9381993621555895
902.0,2.3286270177203163,2.9366773859477093
903.0,2.326290225986351,2.934656010652734
904.0,2.325007891615956,2.93216041440169
905.0,2.3247566378319733,2.9299360349907926
906.0,2.3255750940968873,2.928197321494647
907.0,2.327244804788492,2.9269363515857143
908.0,2.3297489331678687,2.926320027536055
909.0,2.3330520551525926,2.9261000528866488
910.0,2.336846942712673,2.926110522507941
911.0,2.341023014589895,2.9263541932192556
912.0,2.3454144580761738,2.926627307754709
913.0,2.349884567543734,2.9272087863875718
914.0,2.3545969643262756,2.927995652781742
915.0,2.359315489021831,2.929363569694912
916.0,2.36398502209634,2.9312025524055074
917.0,2.368693057984528,2.933368449122851
918.0,2.3732005950655934,2.9355380991068984
919.0,2.3776937704278334,2.9377761825053677
920.0,2.3821468156251147,2.939942136876629
921.0,2.386400088627285,2.9420012713057897
922.0,2.390844037771566,2.9440372574057236
923.0,2.3957528467504523,2.94607434631164
924.0,2.4011991220958135,2.9482570998705167
925.0,2.4073267353446854,2.9506876749932194
926.0,2.41433490489198,2.9534552138615715
927.0,2.4220838167368224,2.956641913741695
928.0,2.4302480107300783,2.9603499309982566
929.0,2.438635199662603,2.96436217201644
930.0,2.4469596870139836,2.9682836121803944
931.0,2.455193599357873,2.971982736690882
932.0,2.4632992603897184,2.9754652115956803
933.0,2.47109643709099,2.9789756306966733
934.0,2.478315857925119,2.9823283553700755
935.0,2.485041392809534,2.9856867876631967
936.0,2.491392072080031,2.9887706281484223
937.0,2.4974928385129496,2.991433610100932
938.0,2.503298662537074,2.993892022129077
939.0,2.508762942781427,2.995992671726173
940.0,2.5138658093583293,2.997834441256856
941.0,2.518523743536739,2.999377922630431
942.0,2.5228727440002015,3.000631164778646
943.0,2.5269533976228535,3.0016402779563065
944.0,2.5307991828099623,3.002379645191565
945.0,2.5341887747782357,3.0031168040571767
946.0,2.5371170146286612,3.0040667892454165
947.0,2.5397581362222317,3.005127460341175
948.0,2.54192933520645,3.0061035930905455
949.0,2.543645582767364,3.0071410298670096
950.0,2.5447691596447077,3.0080688365156547
951.0,2.5452428308395056,3.0091018535107263
952.0,2.545109331282293,3.0102641643830803
953.0,2.5442862406454534,3.011310651660687
954.0,2.5426603306368003,3.0118585956768658
